role,subject,product,price,division,district,area,timestamp,status,details
Wholesaler,Sirajganj Bridge Toll,All,0.0,Rajshahi,Sirajganj,Bangabandhu Bridge,2025-09-12 01:00:00.000000,Investigation in Progress,Excessive and unofficial tolls being charged for all goods trucks.
Consumer,Narayanganj Market,Onion,155.0,Dhaka,Narayanganj,Sadar,2025-08-27 09:18:00.000000,Action Taken,Market committee intervened and stabilized the price.
Consumer,Brahmanbaria Bazar,Rice,82.0,Chattogram,Brahmanbaria,,2025-09-13 13:00:00.000000,Actionable,Mixing old rice with new and selling at a high price.
Farmer,Local Money Lender,Potato,15.0,Rangpur,Gaibandha,Saghata,2025-08-05 10:00:00.000000,Actionable,Forcing us to sell our produce to him to repay loans at a rate far below market value.
Retailer,Madaripur Arath,Onion,100.0,Dhaka,Madaripur,Sadar,2025-08-26 08:00:00.000000,Pending Review,The quality of onion supplied is very poor but price is high.
Consumer,Khulna New Market,Watermelon,68.0,Khulna,Khulna,New Market Area,2025-09-15 11:00:00.000000,Investigation in Progress,Seller is not using proper weight scales.
Farmer,Naogaon Rice Mill,Rice,50.0,Rajshahi,Naogaon,Sadar,2025-07-28 16:00:00.000000,Pending Review,Rice mill is delaying payment for our paddy.
Consumer,Patuakhali Fish Market,Onion,120.0,Barishal,Patuakhali,,2025-09-05 07:30:00.000000,Actionable,This is not even a primary vegetable shop but they are selling onions at an insane price.
Consumer,Agarwal Sweets,Potato,5.0,Chattogram,Chattogram,Station Road,2025-09-01 19:00:00.000000,Dismissed as False,"Complaint about price of a single Shingara, not raw potato. Invalid."
Retailer,Gabtoli Entry Point,All,0.0,Dhaka,Dhaka,Gabtoli,2025-09-03 02:00:00.000000,Investigation in Progress,Illegal 'line money' being charged for trucks to enter the city.
Consumer,Local Shop,Soybean Oil,192.0,Mymensingh,Mymensingh,Sadar,2025-09-10 14:00:00.000000,Actionable,Selling soybean oil without a price tag on the bottle.
Farmer,Pabna Onion Syndicate,Onion,40.0,Rajshahi,Pabna,Sadar,2025-08-19 12:00:00.000000,Actionable,Syndicate leaders are forcing all farmers in the area to sell to them only.
Consumer,Online Food Delivery,Onion,200.0,Dhaka,Dhaka,Online,2025-08-29 13:00:00.000000,Dismissed as False,"Price is for a special imported onion variety, which was stated on the website."
Wholesaler,Comilla Wholesaler,Potato,28.0,Chattogram,Cumilla,Sadar,2025-09-05 05:00:00.000000,Pending Review,Receiving underweight sacks of potatoes from the main distributor.
Consumer,Barishal Bazar,Rice,80.0,Barishal,Barishal,Sadar,2025-09-11 10:20:00.000000,Actionable,Shopkeeper is selling lower grade rice in premium grade packaging.
Farmer,Rangpur Cold Storage Union,Potato,0.0,Rangpur,Rangpur,Sadar,2025-08-10 11:30:00.000000,Investigation in Progress,The cold storage association has collectively decided not to release potatoes to create a price hike.
Consumer,Grocery Store,Soybean Oil,185.0,Rajshahi,Sirajganj,Sadar,2025-09-08 17:00:00.000000,Pending Review,
Retailer,Khatunganj Trader,Soybean Oil,175.0,Chattogram,Chattogram,Khatunganj,2025-09-06 09:00:00.000000,Action Taken,Trader was fined for not displaying the price chart.
Consumer,Local Market,Mango,250.0,Dhaka,Dhaka,Uttara,2025-08-20 19:00:00.000000,Actionable,Selling chemically ripened mangoes that are harmful.
Consumer,,Watermelon,300.0,Dhaka,Narayanganj,,2025-09-15 16:59:41.436392,Pending Review,
